,recom,times
0,-0.01,0
1,-0.79,20
2,-1.04,4
3,-0.8600000000000001,27
4,-1.09,9
5,-1.05,5
6,-1.06,6
7,-0.71,12
8,0.30999999999999983,33
9,-1.1099999999999999,11
10,-1.09,9
11,-1.1099999999999999,11
12,-2.220446049250313e-16,64
13,-0.6100000000000001,43
14,-1.04,4
15,-1.05,5
16,-0.8700000000000001,28
17,-0.5000000000000002,32
18,0.5,55
19,-0.76,17
20,-1.06,6
21,2.4299999999999997,62
22,2.33,31
23,-1.07,7
24,-0.08000000000000007,31
25,0.08999999999999964,55
26,-1.02,2
27,0.0,23
28,-0.81,22
29,-0.45000000000000007,27
30,-0.4800000000000002,30
31,-0.75,16
32,-0.5100000000000002,33
33,-1.05,5
34,0.06999999999999962,57
35,-0.74,15
36,0.23999999999999977,40
37,2.66,39
38,-0.2200000000000003,45
39,-1.02,2
40,-0.8700000000000002,28
41,2.51,54
42,0.1599999999999997,48
43,-1.06,6
44,2.5399999999999996,51
45,2.3,34
46,0.6499999999999997,40
47,0.21999999999999975,42
48,-0.64,5
49,-1.1199999999999999,12
50,2.51,54
51,-0.71,12
52,-0.0900000000000003,32
53,2.6099999999999994,44
54,2.71,34
55,2.6399999999999997,41
56,2.79,26
57,-0.72,13
58,-1.09,9
59,-0.77,18
60,2.54,51
61,-1.1099999999999999,11
62,0.6300000000000001,42
63,2.5599999999999996,49
64,-1.17,17
65,-1.02,2
66,2.7300000000000004,32
67,2.58,47
68,2.59,46
69,2.4099999999999997,64
70,2.51,54
71,2.5,55
72,2.7199999999999998,33
73,2.71,34
74,2.7800000000000002,27
75,2.63,42
76,2.77,28
77,0.2599999999999998,38
78,2.63,42
79,2.63,42
80,2.6799999999999997,37
81,2.62,43
82,2.7699999999999996,28
83,-0.65,6
84,2.45,19
85,-0.56,38
86,2.78,27
87,-0.7300000000000001,14
88,2.6599999999999997,39
89,2.7,35
90,2.329999999999999,72
91,0.7099999999999997,34
92,2.74,31
93,2.4699999999999998,58
94,2.7,35
95,2.2399999999999998,40
96,2.4399999999999995,61
97,2.84,21
98,2.6999999999999997,35
99,2.0999999999999988,95
100,1.8199999999999998,41
101,2.6399999999999997,41
102,2.0999999999999996,54
103,2.67,38
104,2.7199999999999998,33
105,-0.32000000000000006,14
106,2.61,44
107,2.36,28
108,2.8,25
109,2.69,36
110,2.75,30
111,2.7700000000000005,28
112,2.59,46
113,2.3499999999999996,70
114,2.61,44
115,-1.13,13
116,2.84,21
117,2.6199999999999997,43
118,2.7800000000000002,27
119,2.6999999999999997,35
120,2.6999999999999997,35
121,2.71,34
122,2.78,27
123,-1.03,3
124,-0.69,10
125,2.4699999999999998,58
126,2.46,59
127,2.3599999999999994,28
128,2.57,48
129,2.7699999999999996,28
130,2.63,42
131,2.82,23
132,2.77,28
133,2.84,21
134,2.8699999999999997,18
135,2.6999999999999997,35
136,2.6899999999999995,36
137,2.7800000000000002,27
138,2.5299999999999994,52
139,2.7299999999999995,32
140,2.37,27
141,2.6999999999999997,35
142,2.63,42
143,2.82,23
144,2.79,26
145,0.71,34
146,2.6999999999999997,35
147,2.75,30
148,2.72,33
149,2.86,19
150,2.72,33
151,2.6599999999999997,39
152,1.8399999999999994,80
153,2.84,21
154,2.7199999999999998,33
155,2.2199999999999998,83
156,2.75,30
157,2.8,25
158,2.7699999999999996,28
159,2.46,18
160,2.8299999999999996,22
161,2.7,35
162,2.6999999999999997,35
163,2.63,42
164,-0.7000000000000001,11
165,2.2299999999999995,41
166,-0.6699999999999999,8
167,2.8099999999999996,24
168,2.69,36
169,2.55,50
170,2.82,23
171,2.33,72
172,2.84,21
173,-1.02,2
174,2.78,27
175,2.79,26
176,2.34,30
177,2.7699999999999996,28
178,2.8499999999999996,20
179,2.84,21
180,2.4999999999999996,55
181,2.67,38
182,2.7899999999999996,26
183,2.83,22
184,2.46,59
185,2.8099999999999996,24
186,2.74,31
187,2.4899999999999993,56
188,-0.8800000000000002,29
189,2.74,31
190,2.6799999999999997,37
191,2.5199999999999996,53
192,2.81,24
193,2.75,30
194,2.08,15
195,2.64,41
196,2.5999999999999996,45
197,2.6500000000000004,40
198,2.3,75
199,2.7800000000000002,27
200,2.78,27
201,2.79,26
202,2.79,26
203,1.71,11
204,2.86,19
205,2.8099999999999996,24
206,1.66,38
207,2.85,20
208,2.8499999999999996,20
209,2.8,25
210,2.7699999999999996,28
211,-1.23,23
212,2.7399999999999998,31
213,2.81,24
214,2.75,30
215,2.82,23
216,2.59,46
217,2.63,42
218,2.77,28
219,2.88,17
220,2.76,29
221,2.71,34
222,2.45,60
223,2.77,28
224,2.59,46
225,2.8,25
226,2.8099999999999996,24
227,2.83,22
228,2.8600000000000003,19
229,2.86,19
230,2.5399999999999996,51
231,2.7299999999999995,32
232,1.92,31
233,2.8499999999999996,20
234,2.83,22
235,2.86,19
236,2.73,32
237,2.8,25
238,2.8099999999999996,24
239,2.39,25
240,2.7699999999999996,28
241,2.8200000000000003,23
242,2.86,19
243,2.8,25
244,2.8499999999999996,20
245,2.8299999999999996,22
246,2.8,25
247,2.48,16
248,2.85,20
249,2.8600000000000003,19
250,2.4699999999999998,17
251,2.7899999999999996,26
252,2.8,25
253,2.85,20
254,2.8099999999999996,24
255,2.84,21
256,2.8,25
257,2.26,38
258,2.4499999999999997,19
259,2.8,25
260,2.8,25
261,2.69,36
262,2.43,21
263,2.67,38
264,2.8099999999999996,24
265,2.85,20
266,2.79,26
267,2.8099999999999996,24
268,2.7899999999999996,26
269,2.83,22
270,2.8099999999999996,24
271,2.8299999999999996,22
272,2.4799999999999995,57
273,2.7699999999999996,28
274,2.7800000000000002,27
275,2.85,20
276,2.8499999999999996,20
277,2.34,30
278,2.82,23
279,2.6399999999999997,41
280,2.84,21
281,2.65,40
282,2.8099999999999996,24
283,2.8,25
284,2.7399999999999998,31
285,2.86,19
286,2.66,39
287,2.5799999999999996,47
288,2.77,28
289,2.8299999999999996,22
290,2.8099999999999996,24
291,2.87,18
292,2.86,19
293,2.74,31
294,2.84,21
295,2.83,22
296,2.84,21
297,2.8400000000000003,21
298,2.8200000000000003,23
299,2.7699999999999996,28
300,2.6599999999999997,39
301,2.84,21
302,2.46,18
303,2.5299999999999994,52
304,2.8,25
305,2.81,24
306,2.039999999999999,101
307,2.86,19
308,2.8099999999999996,24
309,2.75,30
310,2.8499999999999996,20
311,2.85,20
312,2.83,22
313,2.8599999999999994,19
314,2.85,20
315,2.88,17
316,1.99,24
317,2.83,22
318,2.8000000000000003,25
319,2.86,19
320,2.83,22
321,2.82,23
322,2.8099999999999996,24
323,2.8099999999999996,24
324,2.85,20
325,2.8599999999999994,19
326,2.84,21
327,2.8499999999999996,20
328,2.83,22
329,2.86,19
330,2.87,18
331,2.6899999999999995,36
332,2.7899999999999996,26
333,2.8599999999999994,19
334,2.8499999999999996,20
335,2.85,20
336,2.84,21
337,2.86,19
338,2.8,25
339,2.8499999999999996,20
340,2.69,36
341,2.84,21
342,2.8499999999999996,20
343,2.8499999999999996,20
344,2.8499999999999996,20
345,2.87,18
346,2.4099999999999997,23
347,2.11,12
348,2.81,24
349,2.76,29
350,2.86,19
